,Approximation,Model,Dataset,Accuracy,Time,Features
1013,Exhaustive,keras,airquality,99.97067548,3632658.032,12
1001,Exhaustive,keras,adult,99.97067548,3632658.032,12
1205,Exhaustive,keras,mba,99.91245898,3118060.987,13
1157,Exhaustive,keras,boston,99.91245898,3118060.987,13
1193,Exhaustive,keras,income,99.91245898,3118060.987,13
1169,Exhaustive,keras,heart_disease,99.91245898,3118060.987,13
1181,Exhaustive,keras,housing,99.91245898,3118060.987,13
1025,Exhaustive,keras,bikehourly,99.95798618,3047545.072,12
1049,Exhaustive,keras,forestfire,99.99775298,2759912.559,12
1097,Exhaustive,keras,seoulbike,99.9987174,2759912.559,12
1073,Exhaustive,keras,ozone,99.99775298,2759912.559,12
1061,Exhaustive,keras,heartfailure,99.99775298,2759912.559,12
1085,Exhaustive,keras,pumpkinseed,99.44717398,2759912.559,12
1133,Exhaustive,keras,stockrisk,97.65974927,1177099.844,12
1145,Exhaustive,keras,wine,99.99986403,1177099.844,12
1121,Exhaustive,keras,stockreturn,99.99809276,1076558.801,12
1109,Exhaustive,keras,servo,99.99809276,1076558.801,12
1037,Exhaustive,keras,forest,99.95476991,1009828.589,12
965,Exhaustive,keras,winequality,99.97376503,900519.0022,11
977,Exhaustive,keras,winequality-red,99.97376503,900519.0022,11
989,Exhaustive,keras,winequality-white,99.97376503,900519.0022,11
893,Exhaustive,keras,telescope,99.31531301,612697.8921,10
941,Exhaustive,keras,mtcars,99.95631388,550398.1285,11
953,Exhaustive,keras,telecom,99.95631388,550398.1285,11
833,Exhaustive,keras,asia_gdp,99.76332691,527202.2796,10
821,Exhaustive,keras,abalone,99.76332691,527202.2796,10
809,Exhaustive,keras,precip,99.61775321,469452.25,9
929,Exhaustive,keras,migration,94.45969632,462250.4876,11
905,Exhaustive,keras,bikedaily,99.95866795,386463.4873,11
737,Exhaustive,keras,casp,99.9104662,369460.2279,9
749,Exhaustive,keras,country-data,99.9104662,369460.2279,9
917,Exhaustive,keras,hybrid,99.8502563,226099.2586,11
581,Exhaustive,keras,californiahousing,99.9999579,164241.2905,8
857,Exhaustive,keras,possumbelly,99.61958261,125025.1352,10
