,Model,Algorithm,Dataset,MSE,R2,Time
0,knn,Adaptive Sampling,Housing_Data,0.0001882050000000001,99.35324742268041,3.839466073513031
1,knn,Adaptive Sampling,melb_data,224.83307957249988,96.81521160382432,3.009312334060669
2,knn,Adaptive Sampling,echocardiogram,0.0009144974173553724,99.57846023809523,2.418394912372936
3,knn,Adaptive Sampling,Car_sales,1.050025029585798,98.88991805951419,4.792750830833729
4,knn,Adaptive Sampling,monk-1,0.0004595799999999995,99.81133825944171,1.8943390679359435
5,knn,Adaptive Sampling,glass,0.06564048958539975,94.3572014324693,2.7165130360025755
6,knn,Adaptive Sampling,connect-4,0.003994374999999994,98.94300740936755,29.272924616336823
7,knn,Adaptive Sampling,auto-mpg,0.0028429749999999998,99.53271285338593,2.263518662452698
8,knn,Adaptive Sampling,drug200,0.0006947263544536277,99.70901653846154,3.682908058166504
9,knn,Adaptive Sampling,sales-cars,2.2149508888888905,97.55853545621555,1.6143787105878193
10,knn,Adaptive Sampling,healthcare-dataset-stroke-data,0.002701452500000001,98.8644588062211,3.3777276182174685
11,knn,Adaptive Sampling,nursery,0.04577076250000001,97.22450048511308,2.717296845912933
12,knn,Adaptive Sampling,nba_logreg,837.8439935849997,97.167933060237,2.0588491559028625
13,knn,Adaptive Sampling,hr-evaluation,0.00019696,99.3231615120275,10.926320514678956
14,knn,Adaptive Sampling,seismic-bumps,0.00012924749999999996,99.34057397959184,2.1805374956130983
15,knn,Adaptive Sampling,breast-cancer,0.004957892659279778,96.77164637445887,2.1080742961482
16,knn,Adaptive Sampling,covertype,0.013764364999999983,99.17534210053323,329.7114433479309
17,knn,Adaptive Sampling,Salaries,0.026888485000000007,94.92670094339623,3.020358529090881
18,knn,Adaptive Sampling,diabetes,0.0008973975000000006,99.58759306066176,2.397325849533081
19,knn,Adaptive Sampling,audiology,0.7595301433333335,98.27493820004119,4.082104994455974
20,knn,Adaptive Sampling,deliveries,0.5474855750000001,96.22642348570484,4.726953997611999
21,knn,Adaptive Sampling,heart-c,0.0010454874999999996,99.56438020833333,2.7517714285850525
22,knn,Adaptive Sampling,churn,0.001386675,96.3888671875,4.087605366706848
23,knn,Adaptive Sampling,vote,0.0034337625,98.60642755681818,2.972660961151123
24,knn,Adaptive Sampling,results,1.9536292210743809,97.36864614140653,2.2024908210292007
25,knn,Adaptive Sampling,sonar,0.007545398288174753,96.73421443181817,1.9468466751817344
26,knn,Adaptive Sampling,SacramentocrimeJanuary2006,11685.374454952504,98.22847807212864,2.2739740347862245
27,knn,Adaptive Sampling,v3_Latest_Data_Science_Salaries,2.7650929849999977,99.33238760465348,3.038352038860321
28,knn,Adaptive Sampling,insurance,0.0013751,99.44996,3.806095027923584
29,knn,Adaptive Sampling,wine,0.005982247486354494,98.97920571078431,2.8242787344981046
30,knn,Adaptive Sampling,hungarian-heart-disease,0.0013350279050395651,99.39291628787879,2.275790338613549
31,knn,Adaptive Sampling,laptop_price,1.2029297624999993,93.22659427858736,4.877194113731385
32,knn,Adaptive Sampling,pima-indians-diabetes,0.01698498499999999,98.34308994244464,2.4824146318435667
33,knn,Adaptive Sampling,tic-tac-toe,0.0025800050000000007,98.65904106029106,2.5119610953330995
34,knn,Adaptive Sampling,adult,0.0009051900000000008,99.4725,11.77585884809494
35,knn,Adaptive Sampling,Titanic_Test,5.491137973543403,91.98756500147476,2.0758314790396857
36,knn,Adaptive Sampling,Data_Preprocessing,0.0,100.0,2.0307331879933677
37,knn,Adaptive Sampling,haberman,0.00020376999999999985,99.83075581395349,2.346107232570648
38,knn,Adaptive Sampling,ElectronicsData,0.1362690974999998,99.68478117626648,2.187114019393921
