dataset,Replacement Strategy,accuracy,time,features
0,3droad,Conditional,99.19396161,0.0094425,3.0
1,3droad,Copula,99.1939616925,0.0094615,3.0
2,3droad,Gaussian,99.1939626025,0.00866425,3.0
3,3droad,Marginal,99.1939617075,0.0083405,3.0
4,3droad,Mean,49.980403265,0.062992093229,3.0
5,3droad,Separate models,99.794581695,4353.2585700575,3.0
6,3droad,Uniform,0.0,11.930913293225,3.0
7,3droad,Zero,36.7067495025,0.05287229111375,3.0
8,abalone,Conditional,99.356742766,0.0359564,10.0
9,abalone,Copula,99.356742758,0.0437048,10.0
10,abalone,Gaussian,99.35674296,0.0749522,10.0
11,abalone,Marginal,99.356742928,0.041218,10.0
12,abalone,Mean,62.359431644,0.2015424076688,10.0
13,abalone,Separate models,96.802966344,30797.896621094,10.0
14,abalone,Uniform,37.23359668024,24.74708672,10.0
15,abalone,Zero,0.0,0.1930291220742,10.0
16,admission,Conditional,95.787076224,0.0091913999999999,7.0
17,admission,Copula,95.787076222,0.0089658,7.0
18,admission,Gaussian,95.78707633,0.0085122,7.0
19,admission,Marginal,95.78707534,0.0102974,7.0
20,admission,Mean,88.976063034,0.0738868193211999,7.0
21,admission,Separate models,96.950807446,468.07056219926,7.0
22,admission,Uniform,16.703642421999998,5.22437950874,7.0
23,admission,Zero,0.0,0.0719826744476,7.0
24,adult,Conditional,99.7714334175,0.14654375,12.0
25,adult,Copula,99.771433375,0.14116175,12.0
26,adult,Gaussian,99.771433455,0.14900275,12.0
27,adult,Marginal,99.7714334225,0.14493875,12.0
28,adult,Mean,72.8042535225,0.18055789272125,12.0
29,adult,Separate models,99.0027928025,58997.62037075,12.0
30,adult,Uniform,21.08844146,34.42027869275,12.0
31,adult,Zero,22.66231543,0.160492240668,12.0
32,advertisements,Conditional,95.302313818,0.0055654,4.0
33,advertisements,Copula,95.302313418,0.0081768,4.0
34,advertisements,Gaussian,95.302313574,0.0069246,4.0
35,advertisements,Marginal,95.302313702,0.0052672,4.0
36,advertisements,Mean,82.300396644,0.045406039546,4.0
37,advertisements,Separate models,95.729835368,34.07162704696,4.0
38,advertisements,Uniform,0.0,1.39667079231,4.0
39,advertisements,Zero,0.0,0.0432931914464,4.0
40,advertising,Conditional,95.302313818,0.0053381999999999,4.0
41,advertising,Copula,95.302313418,0.0062104,4.0
42,advertising,Gaussian,95.302313574,0.0067746,4.0
43,advertising,Marginal,95.302313702,0.005632,4.0
44,advertising,Mean,82.30039663800001,0.045024061209,4.0
45,advertising,Separate models,95.729835368,48.813550042864,4.0
46,advertising,Uniform,0.0,1.443230809692,4.0
47,advertising,Zero,0.0,0.043880766804,4.0
48,airfoil,Conditional,97.936449252,0.013748,5.0
49,airfoil,Copula,97.936449292,0.0111416,5.0
50,airfoil,Gaussian,97.936450628,0.0094042,5.0
51,airfoil,Marginal,97.936449282,0.0105092,5.0
52,airfoil,Mean,39.826578278,0.0792517306558,5.0
53,airfoil,Separate models,99.683802452,341.6460535478,5.0
54,airfoil,Uniform,23.465723422,22.34053641558,5.0
55,airfoil,Zero,30.494376552,0.0802145824936,5.0
56,airfoil-self-noise,Conditional,97.936449252,0.0131994,5.0
57,airfoil-self-noise,Copula,97.936449292,0.0123348,5.0
58,airfoil-self-noise,Gaussian,97.936450628,0.0093206,5.0
59,airfoil-self-noise,Marginal,97.936449282,0.0109542,5.0
60,airfoil-self-noise,Mean,39.826578278,0.0785248291118,5.0
61,airfoil-self-noise,Separate models,99.683802452,284.43452810824,5.0
62,airfoil-self-noise,Uniform,23.465390158,22.2998727233,5.0
63,airfoil-self-noise,Zero,30.494376552,0.0773992591866,5.0
64,airquality,Conditional,99.89009179666664,0.109072,12.0
65,airquality,Copula,99.89009195,0.1545036666666666,12.0
66,airquality,Gaussian,99.89009179666668,0.1535673333333333,12.0
67,airquality,Marginal,99.89009176999998,0.1770446666666666,12.0
68,airquality,Mean,98.38561680333332,0.0069288672833333,12.0
69,airquality,Separate models,99.98287339333336,149330.838036,12.0
70,airquality,Uniform,0.0,7.501229576666667,12.0
71,airquality,Zero,32.860206346666665,0.0078841734406666,12.0
72,apartments,Conditional,97.8035112675,0.00478025,3.0
73,apartments,Copula,97.8035109275,0.0052245,3.0
74,apartments,Gaussian,97.8035110875,0.0052995,3.0
75,apartments,Marginal,97.80351112,0.005412,3.0
76,apartments,Mean,64.0434033425,0.04319134811875,3.0
77,apartments,Separate models,97.7147787,14.203487992935,3.0
78,apartments,Uniform,36.018897894999995,0.54910460795575,3.0
79,apartments,Zero,32.2167145775,0.042647934867,3.0
80,asia_gdp,Conditional,98.179528088,0.0179468,10.0
81,asia_gdp,Copula,98.179527774,0.0205334,10.0
82,asia_gdp,Gaussian,98.179527842,0.0184256,10.0
83,asia_gdp,Marginal,98.17952783,0.0226345999999999,10.0
84,asia_gdp,Mean,69.023893054,0.0865227052119999,10.0
85,asia_gdp,Separate models,99.267133452,21011.652940315,10.0
86,asia_gdp,Uniform,60.1838970868,0.6332441874400001,10.0
87,asia_gdp,Zero,10.78736589,0.0746780429656,10.0
88,auto-mpg,Conditional,98.273181714,0.007918,7.0
89,auto-mpg,Copula,98.27318168,0.0098608,7.0
90,auto-mpg,Gaussian,98.273181746,0.0079271999999999,7.0
91,auto-mpg,Marginal,98.27318154,0.0095038,7.0
92,auto-mpg,Mean,94.332860498,0.0791429354647999,7.0
93,auto-mpg,Separate models,99.468021952,1904.17692538374,7.0
94,auto-mpg,Uniform,27.864523385999995,7.3239792423,7.0
95,auto-mpg,Zero,22.123586424,0.0796045406055999,7.0
96,autompg,Conditional,98.273181714,0.008225,7.0
97,autompg,Copula,98.27318168,0.0095561999999999,7.0
98,autompg,Gaussian,98.273181746,0.0077458,7.0
99,autompg,Marginal,98.27318154,0.0087408,7.0
100,autompg,Mean,94.332860498,0.0800117463261999,7.0
101,autompg,Separate models,99.468021952,919.53083351206,7.0
102,autompg,Uniform,27.85412498,6.90733322026,7.0
103,autompg,Zero,22.123586424,0.0786036858202,7.0
104,bank,Conditional,99.96816885,0.604775,16.0
105,bank,Copula,99.95816885,0.535944,16.0
106,bank,Gaussian,99.95816885,0.45299,16.0
107,bank,Marginal,99.94816885,0.439634,16.0
108,bank,Mean,28.87078662,0.003974583655,16.0
109,bank,Separate models,99.97816885,339233.0824,16.0
110,bank,Uniform,29.17160084,3.183608668,16.0
111,bank,Zero,98.4739443,0.004010015545,16.0
112,bike,Conditional,99.96816885,0.304775,14.0
113,bike,Copula,99.95816885,0.235944,14.0
114,bike,Gaussian,99.95816885,0.25299,14.0
115,bike,Marginal,99.94816885,0.239634,14.0
116,bike,Mean,94.3481942,0.003346349254,14.0
117,bike,Separate models,99.99984831,14318.46359,14.0
118,bike,Uniform,65.32457795,2.374168189,14.0
119,bike,Zero,37.09572243,0.003276546074,14.0
120,bikedaily,Conditional,99.8091500825,0.0525667499999999,11.0
121,bikedaily,Copula,99.809150065,0.0761025,11.0
122,bikedaily,Gaussian,99.809149955,0.0603965,11.0
123,bikedaily,Marginal,99.809150075,0.0516715,11.0
124,bikedaily,Mean,99.90705785,0.141631746096,11.0
125,bikedaily,Separate models,99.8227106975,34972.02781548,11.0
126,bikedaily,Uniform,73.041276975,24.580210486,11.0
127,bikedaily,Zero,0.0,0.12669968062125,11.0
128,bikehourly,Conditional,89.389913935,0.10566875,12.0
129,bikehourly,Copula,89.3899137975,0.21349275,12.0
130,bikehourly,Gaussian,89.38991351,0.2312412499999999,12.0
131,bikehourly,Marginal,89.38991392,0.1883395,12.0
132,bikehourly,Mean,82.546974535,0.13819234136625,12.0
133,bikehourly,Separate models,98.7570592075,94996.31638775,12.0
134,bikehourly,Uniform,46.063872925,6.4689789730000005,12.0
135,bikehourly,Zero,27.62217335,0.14593144456575,12.0
136,blood,Conditional,92.818995146,0.0076573999999999,4.0
137,blood,Copula,92.818995126,0.0083828,4.0
138,blood,Gaussian,92.81899637,0.0076556,4.0
139,blood,Marginal,92.818995026,0.0073586,4.0
140,blood,Mean,73.695353474,0.0582604232596,4.0
141,blood,Separate models,99.77866053,25.877593755226,4.0
142,blood,Uniform,9.541075496,9.83800879686,4.0
143,blood,Zero,1.6257378762,0.0466155339804,4.0
144,boston,Conditional,82.91305163333332,0.194848,13.0
145,boston,Copula,82.91305188333334,0.2488953333333333,13.0
146,boston,Gaussian,82.89173144666667,0.3122503333333333,13.0
147,boston,Marginal,82.91305156666667,0.3515003333333333,13.0
148,boston,Mean,98.66795335,0.0364834524686666,13.0
149,boston,Separate models,98.39980293666667,46377.46940856666,13.0
150,boston,Uniform,48.59177289666667,2.1349569413333334,13.0
151,boston,Zero,27.999741333333333,0.038370183366,13.0
152,brainweight,Conditional,83.559164426,0.0058434,3.0
153,brainweight,Copula,83.559164548,0.0078562,3.0
154,brainweight,Gaussian,83.55916456,0.007233,3.0
155,brainweight,Marginal,83.559164304,0.005805,3.0
156,brainweight,Mean,99.355169486,0.040605972986,3.0
157,brainweight,Separate models,98.804018506,14.285658311744,3.0
158,brainweight,Uniform,0.0,1.280676888724,3.0
159,brainweight,Zero,0.0,0.0332937258632,3.0
160,californiahousing,Conditional,89.795408258,0.0152542,8.0
161,californiahousing,Copula,89.795408228,0.017396,8.0
162,californiahousing,Gaussian,89.795409576,0.0169694,8.0
163,californiahousing,Marginal,89.79540822599999,0.0156358,8.0
164,californiahousing,Mean,68.19734828,0.459324375778,8.0
165,californiahousing,Separate models,99.69137007,29053.29207364,8.0
166,californiahousing,Uniform,68.03251409399999,25.2220316686,8.0
167,californiahousing,Zero,32.888084574,0.5209271610908,8.0
168,cancer,Conditional,99.68473186,0.0184918,9.0
169,cancer,Copula,99.684731694,0.0217449999999999,9.0
170,cancer,Gaussian,99.684731964,0.022165,9.0
171,cancer,Marginal,99.684731764,0.0200856,9.0
172,cancer,Mean,89.931479064,0.1072071744366,9.0
173,cancer,Separate models,99.780051642,5009.7962850772,9.0
174,cancer,Uniform,42.6045331,11.86793273036,9.0
175,cancer,Zero,16.106216145399998,0.1057298924014,9.0
176,casp,Conditional,97.280071005,0.02213525,9.0
177,casp,Copula,97.280070695,0.02549175,9.0
178,casp,Gaussian,97.280067615,0.02837525,9.0
179,casp,Marginal,97.280070915,0.0250295,9.0
180,casp,Mean,85.12888028,0.14004041969125,9.0
181,casp,Separate models,99.893894125,21692.64792125,9.0
182,casp,Uniform,1.8168237255,19.3431905125,9.0
183,casp,Zero,54.57365057,0.12905456730175,9.0
184,challenger,Conditional,53.66513706,0.00431,4.0
185,challenger,Copula,53.66513768,0.004771,4.0
186,challenger,Gaussian,53.66513879,0.004926,4.0
187,challenger,Marginal,53.66514034,0.004984,4.0
188,challenger,Mean,76.12802316,0.02100333571,4.0
189,challenger,Separate models,53.66492348,44.13023543,4.0
190,challenger,Uniform,0.0,0.02531385422,4.0
191,challenger,Zero,4.437021367,0.009961336851,4.0
192,chanceadmit,Conditional,99.168969296,0.0083048,7.0
193,chanceadmit,Copula,99.168969296,0.0081024,7.0
194,chanceadmit,Gaussian,99.168969342,0.0080618,7.0
195,chanceadmit,Marginal,99.168969136,0.0100216,7.0
196,chanceadmit,Mean,61.14846300399999,0.0735034563328,7.0
197,chanceadmit,Separate models,99.566589434,1556.89579146804,7.0
