,Approximation,Model,Dataset,Accuracy,Time,Features
893,Exhaustive,svm,income,99.99958864,358636.4671,13
434,Exhaustive,svm,californiahousing,99.99946372,157956.0191,8
767,Exhaustive,svm,bikehourly,99.93288553,156772.3744,12
821,Exhaustive,svm,seoulbike,99.95124397,154552.0449,12
749,Exhaustive,svm,adult,99.99958927,153236.7634,12
857,Exhaustive,svm,wine,99.90831106,144727.6963,12
758,Exhaustive,svm,airquality,99.96577742,110776.9868,12
812,Exhaustive,svm,pumpkinseed,99.45363576,93582.09947,12
740,Exhaustive,svm,winequality-white,99.95050966,59924.28114,11
515,Exhaustive,svm,rentals,99.99591548,51705.38714,8
263,Exhaustive,svm,powerlifting,99.89021252,29203.8163,6
668,Exhaustive,svm,telescope,99.47746061,26604.49543,10
632,Exhaustive,svm,poker,99.98905875,26004.55296,10
614,Exhaustive,svm,abalone,99.70609141,25542.49285,10
353,Exhaustive,svm,france,99.99309986,18178.01859,7
731,Exhaustive,svm,winequality-red,98.87339015,14852.68454,11
722,Exhaustive,svm,winequality,99.43685581,14720.48715,11
362,Exhaustive,svm,germany,99.96757523,12878.44107,7
551,Exhaustive,svm,casp,99.64896746,10618.38776,9
587,Exhaustive,svm,friedman,99.986198,10304.72688,9
866,Exhaustive,svm,boston,99.2944611,10002.85772,13
884,Exhaustive,svm,housing,99.85662469,9593.26056,13
605,Exhaustive,svm,precip,99.66777115,9083.37924,9
902,Exhaustive,svm,mba,97.9426085,8177.639182,13
569,Exhaustive,svm,employee,99.99661606,7193.874066,9
524,Exhaustive,svm,wage,99.88500767,7189.769356,8
713,Exhaustive,svm,telecom,99.9250514,6472.892293,11
461,Exhaustive,svm,crab,99.94801938,5577.959091,8
344,Exhaustive,svm,diamond,99.98853305,5404.944514,7
776,Exhaustive,svm,forest,99.35631327,4620.276252,12
785,Exhaustive,svm,forestfire,99.36816794,4208.940731,12
677,Exhaustive,svm,bikedaily,99.68775198,3404.601707,11
875,Exhaustive,svm,heart_disease,99.74060952,3219.24188,13
254,Exhaustive,svm,kiva,99.9433216,2498.436117,6
281,Exhaustive,svm,walmart,99.95143244,2092.079495,6
164,Exhaustive,svm,power,99.94362,1727.671873,4
794,Exhaustive,svm,heartfailure,99.29558672,1668.187881,12
848,Exhaustive,svm,stockrisk,98.6446397,1281.759876,12
839,Exhaustive,svm,stockreturn,99.85503998,1052.716012,12
803,Exhaustive,svm,ozone,99.9736624,943.6302023,12
830,Exhaustive,svm,servo,99.40985313,700.6378355,12
542,Exhaustive,svm,cancer,99.45649072,621.6557143,9
578,Exhaustive,svm,energy,99.61656099,619.4662485,9
470,Exhaustive,svm,cust,99.87047198,562.4782276,8
695,Exhaustive,svm,migration,99.99998946,489.5670915,11
479,Exhaustive,svm,diabetes,99.83643386,460.7456112,8
236,Exhaustive,svm,uber,-799.1766331,459.7398925,5
452,Exhaustive,svm,concrete,99.98977023,420.0980568,8
443,Exhaustive,svm,cms,99.98977023,410.6637135,8
252,CES,svm,kiva,99.79307086,341.8754837,6
253,Cohort,svm,kiva,99.79307086,341.8754837,6
279,CES,svm,walmart,99.71729509,300.1371824,6
280,Cohort,svm,walmart,99.71729509,300.1371824,6
686,Exhaustive,svm,hybrid,98.28336915,277.0725262,11
488,Exhaustive,svm,energy_cool,99.61198568,239.9374104,8
641,Exhaustive,svm,possumbelly,92.38284019,239.6029878,10
497,Exhaustive,svm,energy_heat,99.6421672,238.8337326,8
245,Exhaustive,svm,insurance,99.58776259,190.6318846,6
165,IME,svm,power,99.4362,174.9312365,4
167,MLE,svm,power,98.17671454,174.9312365,4
704,Exhaustive,svm,mtcars,68.75728242,129.6414053,11
1,Cohort,svm,3droad,98.51484108,96.25023642,3
0,CES,svm,3droad,98.51484108,96.25023642,3
659,Exhaustive,svm,spending,97.64111384,80.97994566,10
650,Exhaustive,svm,possumchest,97.64111384,79.9120903,10
166,KernelSHAP,svm,power,99.69322772,78.24446115,4
200,Exhaustive,svm,airfoil-self-noise,99.98188165,77.93238044,5
191,Exhaustive,svm,airfoil,99.98188165,75.35091639,5
189,CES,svm,airfoil,99.99699669,71.70130533,5
190,Cohort,svm,airfoil,99.99699669,71.70130533,5
198,CES,svm,airfoil-self-noise,99.99710873,68.99779035,5
199,Cohort,svm,airfoil-self-noise,99.99710873,68.99779035,5
244,Cohort,svm,insurance,99.98726659,66.719075,6
243,CES,svm,insurance,99.98726659,66.719075,6
623,Exhaustive,svm,asia_gdp,99.98332608,56.4803791,10
317,Exhaustive,svm,autompg,99.11773553,52.97605562,7
560,Exhaustive,svm,country-data,98.99831089,51.37403584,9
170,SGDShapley,svm,power,97.17671454,48.29765082,4
308,Exhaustive,svm,auto-mpg,99.11773553,42.60018563,7
226,Cohort,svm,sacramento,99.6933871,42.48150714,5
225,CES,svm,sacramento,99.6933871,42.48150714,5
127,Cohort,svm,diamonds_select,99.74286959,34.16041244,4
126,CES,svm,diamonds_select,99.74286959,34.16041244,4
425,Exhaustive,svm,wholesale,99.69869688,31.43970323,7
506,Exhaustive,svm,prostate,99.51084325,29.03359222,8
389,Exhaustive,svm,realestate,99.53756969,28.69033456,7
239,MLE,svm,uber,92.70294598,28.60046116,5
596,Exhaustive,svm,glass,75.0,26.90657115,9
64,Cohort,svm,spx,99.95981085,26.77209896,3
63,CES,svm,spx,99.95981085,26.77209896,3
90,CES,svm,blood,99.63384614,22.18414441,4
91,Cohort,svm,blood,99.63384614,22.18414441,4
237,IME,svm,uber,98.15609815,21.73971541,5
533,Exhaustive,svm,airline-costs,92.45318091,21.10025167,9
335,Exhaustive,svm,computer,99.93843671,20.56032038,7
299,Exhaustive,svm,admission,98.51149137,19.03886533,7
2,Exhaustive,svm,3droad,99.99571939,17.83948231,3
567,CES,svm,employee,97.75776254,16.94709132,9
227,Exhaustive,svm,sacramento,99.69502381,16.60026312,5
416,Exhaustive,svm,slump-mpa,99.83747756,16.44379926,7
135,CES,svm,economics,97.71088976,13.35527594,4
136,Cohort,svm,economics,97.71088976,13.35527594,4
180,CES,svm,unemploy,97.71141586,13.29319621,4
181,Cohort,svm,unemploy,97.71141586,13.29319621,4
128,Exhaustive,svm,diamonds_select,99.74960887,12.78181839,4
117,CES,svm,diamonds_filter,98.88834122,12.11997794,4
118,Cohort,svm,diamonds_filter,98.88834122,12.11997794,4
27,CES,svm,chickweight,99.34282089,11.76334617,3
28,Cohort,svm,chickweight,99.34282089,11.76334617,3
407,Exhaustive,svm,slump-flow,99.91948044,11.44378328,7
380,Exhaustive,svm,raotbl7,99.87507427,11.13356924,7
307,Cohort,svm,auto-mpg,99.14245789,10.55801497,7
306,CES,svm,auto-mpg,99.14245789,10.55801497,7
315,CES,svm,autompg,99.15000703,10.52012001,7
316,Cohort,svm,autompg,99.15000703,10.52012001,7
892,Cohort,svm,income,95.73663662,9.678174075,13
891,CES,svm,income,95.73663662,9.678174075,13
810,CES,svm,pumpkinseed,99.92836617,9.570840492,12
811,Cohort,svm,pumpkinseed,99.92836617,9.570840492,12
326,Exhaustive,svm,chanceadmit,99.96081788,9.565268993,7
766,Cohort,svm,bikehourly,99.68414189,9.309311164,12
765,CES,svm,bikehourly,99.68414189,9.309311164,12
819,CES,svm,seoulbike,96.91467379,9.306391838,12
820,Cohort,svm,seoulbike,96.91467379,9.306391838,12
855,CES,svm,wine,99.87126957,9.287044365,12
856,Cohort,svm,wine,99.87126957,9.287044365,12
757,Cohort,svm,airquality,99.43952731,9.24248628,12
756,CES,svm,airquality,99.43952731,9.24248628,12
748,Cohort,svm,adult,99.11259922,9.114465394,12
747,CES,svm,adult,99.11259922,9.114465394,12
46,Cohort,svm,jewellery,99.7301917,8.974011844,3
45,CES,svm,jewellery,99.7301917,8.974011844,3
37,Cohort,svm,htwtindex,98.00084357,8.814801287,3
36,CES,svm,htwtindex,98.00084357,8.814801287,3
738,CES,svm,winequality-white,92.89733389,8.5926377,11
739,Cohort,svm,winequality-white,92.89733389,8.5926377,11
238,KernelSHAP,svm,uber,98.64263601,8.56921798,5
720,CES,svm,winequality,99.87197375,8.484760122,11
721,Cohort,svm,winequality,99.87197375,8.484760122,11
612,CES,svm,abalone,83.66306193,8.39078832,10
613,Cohort,svm,abalone,83.66306193,8.39078832,10
712,Cohort,svm,telecom,99.89211402,8.357201985,11
711,CES,svm,telecom,99.89211402,8.357201985,11
730,Cohort,svm,winequality-red,99.16746297,8.184328142,11
729,CES,svm,winequality-red,99.16746297,8.184328142,11
666,CES,svm,telescope,99.9941321,7.573556105,10
667,Cohort,svm,telescope,99.9941321,7.573556105,10
631,Cohort,svm,poker,99.8980368,7.396674803,10
630,CES,svm,poker,99.8980368,7.396674803,10
549,CES,svm,casp,65.46728573,7.179346416,9
550,Cohort,svm,casp,65.46728573,7.179346416,9
603,CES,svm,precip,11.5269459,6.948227917,9
604,Cohort,svm,precip,11.5269459,6.948227917,9
