,Approximation,Model,Dataset,Accuracy,Time,Features
1069,Exhaustive,xg,boston,99.71497125,3894567.398,13
1080,Exhaustive,xg,heart_disease,99.71497125,3894567.398,13
1091,Exhaustive,xg,heartage,99.91510957,3894567.398,13
1102,Exhaustive,xg,housing,99.91510957,3894567.398,13
1124,Exhaustive,xg,mba,99.89943158,3701897.484,13
1113,Exhaustive,xg,income,99.99259653,2235191.376,13
882,Exhaustive,xg,telecom,99.99986203,1893775.182,11
1003,Exhaustive,xg,pumpkinseed,99.43550685,1836186.346,12
937,Exhaustive,xg,airquality,99.9910078,1719962.949,12
992,Exhaustive,xg,ozone,99.89732888,1681928.066,12
981,Exhaustive,xg,heartfailure,97.46889653,1666672.6,12
959,Exhaustive,xg,forest,98.76382174,1402713.696,12
948,Exhaustive,xg,bikehourly,94.19787195,1352513.012,12
1058,Exhaustive,xg,wine,89.12228412,1298603.179,12
893,Exhaustive,xg,winequality,99.996766,1104290.126,11
1014,Exhaustive,xg,seoulbike,99.98003158,1026480.207,12
970,Exhaustive,xg,forestfire,98.99908858,943390.0737,12
816,Exhaustive,xg,telescope,99.98333302,902397.6409,10
838,Exhaustive,xg,facebook,99.90051041,874900.4388,11
827,Exhaustive,xg,bikedaily,99.78758166,795411.5545,11
926,Exhaustive,xg,adult,99.99113667,775673.184,12
1036,Exhaustive,xg,stockreturn,99.5697561,727201.0953,12
1025,Exhaustive,xg,servo,91.86940785,617602.1802,12
1047,Exhaustive,xg,stockrisk,98.65395617,602667.2651,12
783,Exhaustive,xg,possumbelly,98.37044365,595426.469,10
761,Exhaustive,xg,asia_gdp,97.25410914,417215.1362,10
860,Exhaustive,xg,migration,93.62533529,378874.3764,11
915,Exhaustive,xg,winequality-white,99.59389036,363509.399,11
904,Exhaustive,xg,winequality-red,99.59389036,363509.399,11
849,Exhaustive,xg,hybrid,93.5273513,325133.9398,11
772,Exhaustive,xg,poker,50.0,318954.4454,10
750,Exhaustive,xg,abalone,99.9404118,318250.4983,10
871,Exhaustive,xg,mtcars,88.82927445,235870.7478,11
651,Exhaustive,xg,airline-costs,50.0,203750.1421,9
739,Exhaustive,xg,precip,99.99999965,131982.5258,9
805,Exhaustive,xg,spending,99.76461693,126683.1601,10
794,Exhaustive,xg,possumchest,99.76461693,117891.6099,10
684,Exhaustive,xg,country-data,99.87448803,114274.6501,9
717,Exhaustive,xg,friedman,93.67092398,110434.0556,9
695,Exhaustive,xg,employee,81.95831988,92934.36829,9
673,Exhaustive,xg,casp,99.99386533,79059.96654,9
618,Exhaustive,xg,prostate,99.75328457,75201.88989,8
552,Exhaustive,xg,concrete,99.97476744,74979.30268,8
662,Exhaustive,xg,cancer,99.82824892,63376.76159,9
728,Exhaustive,xg,glass,99.45528541,50931.38989,9
376,Exhaustive,xg,auto-mpg,99.72782127,49193.71164,7
706,Exhaustive,xg,energy,99.99988317,48859.46261,9
508,Exhaustive,xg,slump-mpa,99.74961641,42569.98862,7
398,Exhaustive,xg,chanceadmit,99.83391431,40481.20223,7
530,Exhaustive,xg,californiahousing,99.99741493,29633.1965,8
541,Exhaustive,xg,cms,99.97476744,26144.83587,8
574,Exhaustive,xg,cust,99.77446059,25431.59569,8
585,Exhaustive,xg,diabetes,99.99792076,23427.51913,8
