,Model,dataset,Replacement Strategy,accuracy,time,features
0,Decision Trees,3droad,Separate models,99.79486355,20.20715714,3
1,Decision Trees,3droad,Zero,80.36843796043851,1.1413747609999999e-05,3
2,Decision Trees,3droad,Mean,80.36843796043851,1.170869307e-05,3
4,Decision Trees,3droad,Uniform,80.36843796043851,0.0001369928439,3
5,Decision Trees,3droad,Marginal,99.50353729,0.00041279999999999995,3
6,Decision Trees,3droad,Conditional,99.50353718,0.008209,3
7,Decision Trees,3droad,Gaussian,99.50353751,0.008322,3
8,Decision Trees,3droad,Copula,99.50353726,0.008551,3
9,Decision Trees,abalone,Separate models,99.68398006,88.07373047,10
10,Decision Trees,abalone,Zero,80.36843796043851,2.384911161e-05,10
11,Decision Trees,abalone,Mean,80.36843796043851,2.44046558e-05,10
13,Decision Trees,abalone,Uniform,80.36843796043851,0.001850488703,10
14,Decision Trees,abalone,Marginal,99.87290878,0.0019458,10
15,Decision Trees,abalone,Conditional,99.87290871,0.036464,10
16,Decision Trees,abalone,Gaussian,99.8729092,0.039439,10
17,Decision Trees,abalone,Copula,99.87290887,0.042533,10
18,Decision Trees,admission,Separate models,97.62644645,0.7088882923,7
19,Decision Trees,admission,Zero,80.36843796043851,1.764215123e-05,7
20,Decision Trees,admission,Mean,92.55428645,1.820805579e-05,7
22,Decision Trees,admission,Uniform,80.36843796043851,0.00018289674270000002,7
23,Decision Trees,admission,Marginal,97.62644644,0.00044209999999999996,7
24,Decision Trees,admission,Conditional,97.62644713,0.008535,7
25,Decision Trees,admission,Gaussian,97.62644707,0.009285,7
26,Decision Trees,admission,Copula,97.62644711,0.008857,7
27,Decision Trees,adult,Separate models,97.51609217,2338.549043,12
28,Decision Trees,adult,Zero,90.64926172,3.034930518e-05,12
29,Decision Trees,adult,Mean,80.25495947,2.9781782270000003e-05,12
31,Decision Trees,adult,Uniform,80.36843796043851,0.001848543944,12
32,Decision Trees,adult,Marginal,99.98363346,0.006693350000000001,12
33,Decision Trees,adult,Conditional,99.98363346,0.123317,12
34,Decision Trees,adult,Gaussian,99.98363343,0.185281,12
35,Decision Trees,adult,Copula,99.98363343,0.157699,12
36,Decision Trees,advertisements,Separate models,92.16329071,0.03864312172,4
37,Decision Trees,advertisements,Zero,80.36843796043851,1.299803907e-05,4
38,Decision Trees,advertisements,Mean,84.0093219,1.238710953e-05,4
40,Decision Trees,advertisements,Uniform,80.36843796043851,3.249156475e-05,4
41,Decision Trees,advertisements,Marginal,92.1632907,0.00021135,4
42,Decision Trees,advertisements,Conditional,92.16329078,0.005416,4
43,Decision Trees,advertisements,Gaussian,92.16329056,0.004934,4
44,Decision Trees,advertisements,Copula,92.16329035,0.004854,4
45,Decision Trees,advertising,Separate models,92.16329071,0.03950166702,4
46,Decision Trees,advertising,Zero,80.36843796043851,1.279473305e-05,4
47,Decision Trees,advertising,Mean,84.0093219,1.24705199e-05,4
49,Decision Trees,advertising,Uniform,80.36843796043851,3.2774787960000005e-05,4
50,Decision Trees,advertising,Marginal,92.1632907,0.00025785,4
51,Decision Trees,advertising,Conditional,92.16329078,0.00548,4
52,Decision Trees,advertising,Gaussian,92.16329056,0.005002,4
53,Decision Trees,advertising,Copula,92.16329035,0.004917,4
54,Decision Trees,airfoil,Separate models,99.74450063,0.179530859,5
55,Decision Trees,airfoil,Zero,96.20547991,1.409898382e-05,5
56,Decision Trees,airfoil,Mean,80.36843796043851,1.44471183e-05,5
58,Decision Trees,airfoil,Uniform,80.36843796043851,0.00025179586990000004,5
59,Decision Trees,airfoil,Marginal,99.9376636,0.00039709999999999995,5
60,Decision Trees,airfoil,Conditional,99.9376636,0.021197,5
61,Decision Trees,airfoil,Gaussian,99.93766369,0.009595,5
62,Decision Trees,airfoil,Copula,99.93766361,0.009778,5
63,Decision Trees,airfoil-self-noise,Separate models,99.74450063,0.1785068512,5
64,Decision Trees,airfoil-self-noise,Zero,96.20547991,1.430447174e-05,5
65,Decision Trees,airfoil-self-noise,Mean,80.36843796043851,1.439070702e-05,5
67,Decision Trees,airfoil-self-noise,Uniform,80.36843796043851,0.0002677752105,5
68,Decision Trees,airfoil-self-noise,Marginal,99.9376636,0.0004466,5
69,Decision Trees,airfoil-self-noise,Conditional,99.9376636,0.020547,5
70,Decision Trees,airfoil-self-noise,Gaussian,99.93766369,0.009465,5
71,Decision Trees,airfoil-self-noise,Copula,99.93766361,0.009535,5
72,Decision Trees,airquality,Separate models,99.97434772,1940.765708,12
73,Decision Trees,airquality,Zero,80.36843796043851,2.736977375e-05,12
74,Decision Trees,airquality,Mean,97.87583055,2.792025335e-05,12
76,Decision Trees,airquality,Uniform,80.36843796043851,0.0020024714989999998,12
77,Decision Trees,airquality,Marginal,99.88888256,0.00825815,12
78,Decision Trees,airquality,Conditional,99.88888259,0.10473,12
79,Decision Trees,airquality,Gaussian,99.88888267,0.169524,12
80,Decision Trees,airquality,Copula,99.88888261,0.152762,12
81,Decision Trees,apartments,Separate models,97.03370117,0.01286005974,3
82,Decision Trees,apartments,Zero,67.74895415,1.169314751e-05,3
83,Decision Trees,apartments,Mean,80.36843796043851,1.165857682e-05,3
85,Decision Trees,apartments,Uniform,80.36843796043851,8.998329823000001e-06,3
86,Decision Trees,apartments,Marginal,97.03370117,0.00022415,3
87,Decision Trees,apartments,Conditional,97.03370121,0.004988,3
88,Decision Trees,apartments,Gaussian,97.0337011,0.005025,3
89,Decision Trees,apartments,Copula,97.03370097,0.004948,3
90,Decision Trees,asia_gdp,Separate models,99.40828402,5.634373665,10
91,Decision Trees,asia_gdp,Zero,80.36843796043851,2.436654908e-05,10
92,Decision Trees,asia_gdp,Mean,80.36843796043851,2.430558205e-05,10
94,Decision Trees,asia_gdp,Uniform,97.38051623,4.27881309e-05,10
95,Decision Trees,asia_gdp,Marginal,99.40828402,0.0010086,10
96,Decision Trees,asia_gdp,Conditional,99.40828414,0.017385,10
97,Decision Trees,asia_gdp,Gaussian,99.40828429,0.017776,10
98,Decision Trees,asia_gdp,Copula,99.40828392,0.017637,10
99,Decision Trees,auto-mpg,Separate models,99.49587948,0.7088549137,7
100,Decision Trees,auto-mpg,Zero,80.36843796043851,1.793753184e-05,7
101,Decision Trees,auto-mpg,Mean,98.84802918,1.790584051e-05,7
103,Decision Trees,auto-mpg,Uniform,47.89029573,0.0001577785235,7
104,Decision Trees,auto-mpg,Marginal,99.49587944,0.00038425,7
105,Decision Trees,auto-mpg,Conditional,99.49587956,0.008405,7
106,Decision Trees,auto-mpg,Gaussian,99.49587974,0.008112,7
107,Decision Trees,auto-mpg,Copula,99.49587958,0.008246,7
108,Decision Trees,autompg,Separate models,99.49587948,0.6840906143,7
109,Decision Trees,autompg,Zero,80.36843796043851,1.8808548269999998e-05,7
110,Decision Trees,autompg,Mean,98.84802918,1.754153692e-05,7
112,Decision Trees,autompg,Uniform,47.88455826,0.00015806736209999998,7
113,Decision Trees,autompg,Marginal,99.49587944,0.00040435000000000004,7
114,Decision Trees,autompg,Conditional,99.49587956,0.007823,7
115,Decision Trees,autompg,Gaussian,99.49587974,0.008263,7
116,Decision Trees,autompg,Copula,99.49587958,0.007962,7
117,Decision Trees,bank,Separate models,99.97816885,339233.0824,16
118,Decision Trees,bank,Zero,98.4739443,4.010015545e-05,16
119,Decision Trees,bank,Mean,80.36843796043851,3.974583655e-05,16
121,Decision Trees,bank,Uniform,80.36843796043851,0.003183608668,16
122,Decision Trees,bank,Marginal,99.94816885,0.0219817,16
123,Decision Trees,bank,Conditional,99.96816885,0.604775,16
124,Decision Trees,bank,Gaussian,99.95816885,0.45299,16
125,Decision Trees,bank,Copula,99.95816885,0.535944,16
126,Decision Trees,bike,Separate models,99.99984831,14318.46359,14
127,Decision Trees,bike,Zero,80.36843796043851,3.276546074e-05,14
128,Decision Trees,bike,Mean,94.3481942,3.346349254e-05,14
130,Decision Trees,bike,Uniform,65.32457795,0.002374168189,14
131,Decision Trees,bike,Marginal,99.94816885,0.011981700000000001,14
132,Decision Trees,bike,Conditional,99.96816885,0.304775,14
133,Decision Trees,bike,Gaussian,99.95816885,0.25299,14
134,Decision Trees,bike,Copula,99.95816885,0.235944,14
135,Decision Trees,bikedaily,Separate models,99.82940127,41.40573192,11
136,Decision Trees,bikedaily,Zero,80.36843796043851,2.5731049289999997e-05,11
137,Decision Trees,bikedaily,Mean,99.99447247,2.608325856e-05,11
139,Decision Trees,bikedaily,Uniform,84.82384778,0.0013108683489999999,11
140,Decision Trees,bikedaily,Marginal,99.82940127,0.00237265,11
141,Decision Trees,bikedaily,Conditional,99.82940128,0.046542,11
142,Decision Trees,bikedaily,Gaussian,99.8294013,0.056131,11
143,Decision Trees,bikedaily,Copula,99.82940123,0.064968,11
144,Decision Trees,bikehourly,Separate models,99.99379535,249.394021,12
145,Decision Trees,bikehourly,Zero,56.76524617,2.892950809e-05,12
146,Decision Trees,bikehourly,Mean,95.65886773,2.884092475e-05,12
148,Decision Trees,bikehourly,Uniform,63.12864794,0.002200058749,12
149,Decision Trees,bikehourly,Marginal,99.83068672,0.0069817,12
150,Decision Trees,bikehourly,Conditional,99.8306867,0.104775,12
