,Model,dataset,Replacement Strategy,accuracy,time,features
0,Neural network,3droad,Separate models,99.99530387,562.3127656,3
1,Neural network,3droad,Zero,76.14115240874268,1.6492243970000002e-05,3
2,Neural network,3droad,Mean,99.99908418,1.6600254809999998e-05,3
4,Neural network,3droad,Uniform,76.14115240874268,0.002474781315,3
5,Neural network,3droad,Marginal,98.0769323,0.00042770000000000004,3
6,Neural network,3droad,Conditional,98.07693222,0.008391,3
7,Neural network,3droad,Gaussian,98.07693525,0.008962,3
8,Neural network,3droad,Copula,98.07693231,0.007423,3
9,Neural network,apartments,Separate models,98.03603393,6.225592852,3
10,Neural network,apartments,Zero,76.14115240874268,1.723812177e-05,3
11,Neural network,apartments,Mean,90.86740983,1.761060495e-05,3
13,Neural network,apartments,Uniform,76.14115240874268,0.0002759636365,3
14,Neural network,apartments,Marginal,98.57011797,0.00024009999999999998,3
15,Neural network,apartments,Conditional,98.57011814,0.004738,3
16,Neural network,apartments,Gaussian,98.57011789,0.005126,3
17,Neural network,apartments,Copula,98.57011779,0.004294,3
18,Neural network,brainweight,Separate models,98.20649075,10.02281928,3
19,Neural network,brainweight,Zero,76.14115240874268,1.625347741e-05,3
20,Neural network,brainweight,Mean,99.91329554,0.0003210708763,3
22,Neural network,brainweight,Uniform,76.14115240874268,0.0004382274543,3
23,Neural network,brainweight,Marginal,97.6489924,0.00028605000000000004,3
24,Neural network,brainweight,Conditional,97.64899247,0.007437,3
25,Neural network,brainweight,Gaussian,97.64899255,0.009188,3
26,Neural network,brainweight,Copula,97.64899255,0.010499,3
27,Neural network,chickweight,Separate models,99.48640004,18.80045938,3
28,Neural network,chickweight,Zero,76.14115240874268,1.561568045e-05,3
29,Neural network,chickweight,Mean,99.94675391,1.603277566e-05,3
31,Neural network,chickweight,Uniform,76.14115240874268,0.0008538118029000001,3
32,Neural network,chickweight,Marginal,99.40789605,0.00031985,3
33,Neural network,chickweight,Conditional,99.40789604,0.00672,3
34,Neural network,chickweight,Gaussian,99.4078961,0.006985,3
35,Neural network,chickweight,Copula,99.40789605,0.00646,3
36,Neural network,htwtindex,Separate models,99.7725822,9.771246195,3
37,Neural network,htwtindex,Zero,76.14115240874268,2.840316657e-05,3
38,Neural network,htwtindex,Mean,76.14115240874268,0.0004743669828,3
40,Neural network,htwtindex,Uniform,76.14115240874268,0.0008818226981,3
41,Neural network,htwtindex,Marginal,99.77241985,0.0003163,3
42,Neural network,htwtindex,Conditional,99.77241982,0.006541,3
43,Neural network,htwtindex,Gaussian,99.77241982,0.006841,3
44,Neural network,htwtindex,Copula,99.77241988,0.00679,3
45,Neural network,jewellery,Separate models,99.98911321,8.348390102,3
46,Neural network,jewellery,Zero,76.14115240874268,1.705549434e-05,3
47,Neural network,jewellery,Mean,99.9990796,0.0003052390407,3
49,Neural network,jewellery,Uniform,76.14115240874268,0.0007843341708,3
50,Neural network,jewellery,Marginal,99.46325568,0.00035805,3
51,Neural network,jewellery,Conditional,99.46325567,0.005398,3
52,Neural network,jewellery,Gaussian,99.46325566,0.007412,3
53,Neural network,jewellery,Copula,99.46325567,0.006167,3
54,Neural network,questions,Separate models,99.68780406,8.656043291,3
55,Neural network,questions,Zero,76.14115240874268,2.810599587e-05,3
56,Neural network,questions,Mean,99.40633884,0.0001989813718,3
58,Neural network,questions,Uniform,76.14115240874268,0.0007838601565,3
59,Neural network,questions,Marginal,99.69213248,0.00032304999999999996,3
60,Neural network,questions,Conditional,99.69213247,0.006334,3
61,Neural network,questions,Gaussian,99.69213245,0.007712,3
62,Neural network,questions,Copula,99.69213247,0.009165,3
63,Neural network,spx,Separate models,99.9828349,17.17284465,3
64,Neural network,spx,Zero,76.14115240874268,1.812811954e-05,3
65,Neural network,spx,Mean,99.73538238,1.634785873e-05,3
67,Neural network,spx,Uniform,76.14115240874268,0.001033698277,3
68,Neural network,spx,Marginal,99.99984651,0.00039365,3
69,Neural network,spx,Conditional,99.99984651,0.008716,3
70,Neural network,spx,Gaussian,99.9998465,0.008412,3
71,Neural network,spx,Copula,99.99984651,0.006637,3
72,Neural network,advertisements,Separate models,97.9738208,33.18942857,4
73,Neural network,advertisements,Zero,76.14115240874268,1.9749041760000003e-05,4
74,Neural network,advertisements,Mean,93.3976726,1.990050981e-05,4
76,Neural network,advertisements,Uniform,76.14115240874268,0.000818552653,4
77,Neural network,advertisements,Marginal,97.3863589,0.0002956,4
78,Neural network,advertisements,Conditional,97.38635902,0.005665,4
79,Neural network,advertisements,Gaussian,97.3863589,0.008035,4
80,Neural network,advertisements,Copula,97.38635857,0.005406,4
81,Neural network,advertising,Separate models,97.9738208,41.90234876,4
82,Neural network,advertising,Zero,76.14115240874268,1.969789014e-05,4
83,Neural network,advertising,Mean,93.3976726,1.955241868e-05,4
85,Neural network,advertising,Uniform,76.14115240874268,0.001128322002,4
86,Neural network,advertising,Marginal,97.3863589,0.0002774,4
87,Neural network,advertising,Conditional,97.38635902,0.005083,4
88,Neural network,advertising,Gaussian,97.3863589,0.005538,4
89,Neural network,advertising,Copula,97.38635857,0.004988,4
90,Neural network,blood,Separate models,99.93100577,7.050828457,4
91,Neural network,blood,Zero,76.14115240874268,1.764569688e-05,4
92,Neural network,blood,Mean,87.15173717,1.792085316e-05,4
94,Neural network,blood,Uniform,76.14115240874268,0.002229800458,4
95,Neural network,blood,Marginal,98.41662882,0.00038485,4
96,Neural network,blood,Conditional,98.41662892,0.00785,4
97,Neural network,blood,Gaussian,98.41663303,0.008128,4
98,Neural network,blood,Copula,98.41662876,0.007719,4
99,Neural network,const-maint,Separate models,99.21898758,29.37649965,4
100,Neural network,const-maint,Zero,76.14115240874268,2.058029175e-05,4
101,Neural network,const-maint,Mean,99.14023315,2.013141459e-05,4
103,Neural network,const-maint,Uniform,76.14115240874268,0.00031886072589999996,4
104,Neural network,const-maint,Marginal,99.9999977,0.0002691,4
105,Neural network,const-maint,Conditional,99.9999977,0.02119,4
106,Neural network,const-maint,Gaussian,99.9999977,0.00521,4
107,Neural network,const-maint,Copula,99.9999977,0.004432,4
108,Neural network,diamonds_filter,Separate models,99.99574125,20.75824714,4
109,Neural network,diamonds_filter,Zero,76.14115240874268,1.9190528180000002e-05,4
110,Neural network,diamonds_filter,Mean,97.22834493,2.015856781e-05,4
112,Neural network,diamonds_filter,Uniform,76.14115240874268,0.002202457914,4
113,Neural network,diamonds_filter,Marginal,99.98649092,0.00036205,4
114,Neural network,diamonds_filter,Conditional,99.9864909,0.006996,4
115,Neural network,diamonds_filter,Gaussian,99.98649091,0.00927,4
116,Neural network,diamonds_filter,Copula,99.9864909,0.007237,4
117,Neural network,diamonds_select,Separate models,98.89947537,84.76603866,4
118,Neural network,diamonds_select,Zero,76.14115240874268,1.911570809e-05,4
119,Neural network,diamonds_select,Mean,99.98926541,0.0002089489373,4
121,Neural network,diamonds_select,Uniform,76.14115240874268,0.002688476605,4
122,Neural network,diamonds_select,Marginal,98.47118936,0.00043880000000000004,4
123,Neural network,diamonds_select,Conditional,98.47118937,0.008585,4
124,Neural network,diamonds_select,Gaussian,98.4711894,0.008874,4
125,Neural network,diamonds_select,Copula,98.47118946,0.008812,4
126,Neural network,economics,Separate models,98.12339566,28.6644311,4
127,Neural network,economics,Zero,76.14115240874268,1.93093325e-05,4
128,Neural network,economics,Mean,98.51597643,1.886015189e-05,4
130,Neural network,economics,Uniform,76.14115240874268,0.002194447711,4
131,Neural network,economics,Marginal,96.14947007,0.00034185,4
132,Neural network,economics,Conditional,96.14947066,0.007635,4
133,Neural network,economics,Gaussian,96.14947022,0.00711,4
134,Neural network,economics,Copula,96.14947071,0.011086,4
135,Neural network,iris,Separate models,99.99244966,69.44966292,4
136,Neural network,iris,Zero,76.14115240874268,1.991763115e-05,4
137,Neural network,iris,Mean,96.06461567,1.981091499e-05,4
139,Neural network,iris,Uniform,76.14115240874268,0.0006709602547,4
140,Neural network,iris,Marginal,99.99822401,0.0002718,4
141,Neural network,iris,Conditional,99.99822402,0.004944,4
142,Neural network,iris,Gaussian,99.99822402,0.007332,4
143,Neural network,iris,Copula,99.99822403,0.005021,4
144,Neural network,petrol,Separate models,65.81668566,44.5584147,4
145,Neural network,petrol,Zero,76.14115240874268,3.500297666e-05,4
146,Neural network,petrol,Mean,76.14115240874268,0.00021749556060000002,4
148,Neural network,petrol,Uniform,83.86799648,0.0005499390215,4
149,Neural network,petrol,Marginal,60.23286281,0.00021945,4
150,Neural network,petrol,Conditional,60.23286627,0.004276,4
151,Neural network,petrol,Gaussian,60.23286336,0.006609,4
152,Neural network,petrol,Copula,60.23286167,0.004388,4
153,Neural network,power,Separate models,99.95212621,29552.5318,4
154,Neural network,power,Zero,95.09402098,1.931534391e-05,4
155,Neural network,power,Mean,98.47303575,1.907276385e-05,4
157,Neural network,power,Uniform,76.14115240874268,0.0025751114080000003,4
158,Neural network,power,Marginal,99.09759556,0.0004398,4
159,Neural network,power,Conditional,99.0975956,0.008971,4
160,Neural network,power,Gaussian,99.09759565,0.009032,4
161,Neural network,power,Copula,99.09759555,0.008947,4
162,Neural network,startups,Separate models,93.70038094,57.75087523,4
163,Neural network,startups,Zero,76.14115240874268,2.02588474e-05,4
164,Neural network,startups,Mean,99.74715525,2.154238084e-05,4
166,Neural network,startups,Uniform,76.14115240874268,0.00037416863439999995,4
167,Neural network,startups,Marginal,94.6980544,0.0002494,4
168,Neural network,startups,Conditional,94.69805442,0.004601,4
169,Neural network,startups,Gaussian,94.69805456,0.005122,4
170,Neural network,startups,Copula,94.69805421,0.004767,4
171,Neural network,unemploy,Separate models,98.12339566,67.96766162,4
172,Neural network,unemploy,Zero,76.14115240874268,2.387499809e-05,4
173,Neural network,unemploy,Mean,98.51597643,0.0003335494117,4
175,Neural network,unemploy,Uniform,76.14115240874268,0.002151832569,4
176,Neural network,unemploy,Marginal,96.14947007,0.000339,4
177,Neural network,unemploy,Conditional,96.14947066,0.007074,4
178,Neural network,unemploy,Gaussian,96.14947022,0.007013,4
179,Neural network,unemploy,Copula,96.14947071,0.005769,4
180,Neural network,airfoil,Separate models,99.93280414,209.4242055,5
181,Neural network,airfoil,Zero,76.14115240874268,2.2397019649999997e-05,5
182,Neural network,airfoil,Mean,99.25183391,2.195921089e-05,5
184,Neural network,airfoil,Uniform,76.14115240874268,0.004199891431,5
185,Neural network,airfoil,Marginal,90.34827622,0.00046895,5
186,Neural network,airfoil,Conditional,90.34827607,0.008897,5
187,Neural network,airfoil,Gaussian,90.34828235,0.009485,5
188,Neural network,airfoil,Copula,90.34827625,0.00952,5
189,Neural network,airfoil-self-noise,Separate models,99.93280414,199.9792602,5
190,Neural network,airfoil-self-noise,Zero,76.14115240874268,2.205090812e-05,5
191,Neural network,airfoil-self-noise,Mean,99.25183391,2.1613814609999997e-05,5
193,Neural network,airfoil-self-noise,Uniform,76.14115240874268,0.002826289644,5
194,Neural network,airfoil-self-noise,Marginal,90.34827622,0.00047115000000000004,5
195,Neural network,airfoil-self-noise,Conditional,90.34827607,0.007618,5
196,Neural network,airfoil-self-noise,Gaussian,90.34828235,0.009831,5
197,Neural network,airfoil-self-noise,Copula,90.34827625,0.011074,5
198,Neural network,japanemg,Separate models,89.83191851,65.08005285,5
199,Neural network,japanemg,Zero,76.14115240874268,2.218882243e-05,5
200,Neural network,japanemg,Mean,41.4091774,2.3879845939999998e-05,5
202,Neural network,japanemg,Uniform,76.14115240874268,0.0001989012718,5
203,Neural network,japanemg,Marginal,92.12634994,0.00021810000000000002,5
204,Neural network,japanemg,Conditional,92.1263506,0.005059,5
205,Neural network,japanemg,Gaussian,92.12634939,0.005479,5
206,Neural network,japanemg,Copula,92.12634914,0.007192,5
207,Neural network,linnerud,Separate models,98.16149215,70.30740333,5
208,Neural network,linnerud,Zero,76.14115240874268,2.5588103700000003e-05,5
209,Neural network,linnerud,Mean,85.44143146,2.5097642630000002e-05,5
211,Neural network,linnerud,Uniform,76.14115240874268,0.0001974021367,5
212,Neural network,linnerud,Marginal,98.93455352,0.00028189999999999997,5
213,Neural network,linnerud,Conditional,98.93455269,0.005339,5
214,Neural network,linnerud,Gaussian,98.93455323,0.00524,5
215,Neural network,linnerud,Copula,98.93455344,0.004782,5
216,Neural network,sacramento,Separate models,99.83572903,95.60568213,5
217,Neural network,sacramento,Zero,76.14115240874268,2.256094635e-05,5
218,Neural network,sacramento,Mean,99.83580663,2.18997528e-05,5
220,Neural network,sacramento,Uniform,76.14115240874268,0.004075371115,5
221,Neural network,sacramento,Marginal,99.90011465,0.000491,5
222,Neural network,sacramento,Conditional,99.90011465,0.008862,5
223,Neural network,sacramento,Gaussian,99.90011465,0.014608,5
224,Neural network,sacramento,Copula,99.90011465,0.009243,5
225,Neural network,uber,Separate models,99.93004324,17132.64426,5
226,Neural network,uber,Zero,76.14115240874268,2.177825119e-05,5
227,Neural network,uber,Mean,99.93618663,2.1867730400000003e-05,5
229,Neural network,uber,Uniform,76.14115240874268,0.004226608629,5
230,Neural network,uber,Marginal,99.80533568,0.00048005,5
231,Neural network,uber,Conditional,99.8053357,0.009178,5
232,Neural network,uber,Gaussian,99.80533577,0.009493,5
