,Model,dataset,Replacement Strategy,accuracy,time,features
0,Random Forest,3droad,Separate models,99.73064481,16773.10873,3
1,Random Forest,3droad,Zero,58.79272197,0.0002032802914,3
2,Random Forest,3droad,Mean,80.63903293457246,0.000244006633,3
4,Random Forest,3droad,Uniform,80.63903293457246,0.04289728857,3
5,Random Forest,3droad,Marginal,99.62072232,0.00034965,3
6,Random Forest,3droad,Conditional,99.62072222,0.012803,3
7,Random Forest,3droad,Gaussian,99.62072251,0.008834,3
8,Random Forest,3droad,Copula,99.62072231,0.013185,3
9,Random Forest,apartments,Separate models,96.34145092,29.54486132,3
10,Random Forest,apartments,Zero,80.63903293457246,0.00015662823270000002,3
11,Random Forest,apartments,Mean,81.46028255,0.0001646666618,3
13,Random Forest,apartments,Uniform,80.63903293457246,0.001736565984,3
14,Random Forest,apartments,Marginal,96.16229867,0.00033755,3
15,Random Forest,apartments,Conditional,96.16229889,0.004216,3
16,Random Forest,apartments,Gaussian,96.16229874,0.005551,3
17,Random Forest,apartments,Copula,96.16229839,0.006292,3
18,Random Forest,brainweight,Separate models,99.61440529,32.13144255,3
19,Random Forest,brainweight,Zero,80.63903293457246,0.00014453878579999998,3
20,Random Forest,brainweight,Mean,99.93835553,0.0001502002402,3
22,Random Forest,brainweight,Uniform,80.63903293457246,0.003422376029,3
23,Random Forest,brainweight,Marginal,99.57676467,0.00032395000000000004,3
24,Random Forest,brainweight,Conditional,99.5767647,0.005569,3
25,Random Forest,brainweight,Gaussian,99.57676475,0.005591,3
26,Random Forest,brainweight,Copula,99.57676472,0.009899,3
27,Random Forest,chickweight,Separate models,99.6881595,35.04026604,3
28,Random Forest,chickweight,Zero,80.63903293457246,0.0001546484688,3
29,Random Forest,chickweight,Mean,94.68676375,0.000170435667,3
31,Random Forest,chickweight,Uniform,99.51764713,0.018058786009999998,3
32,Random Forest,chickweight,Marginal,99.67749693,0.0003201,3
33,Random Forest,chickweight,Conditional,99.67749693,0.006766,3
34,Random Forest,chickweight,Gaussian,99.67749696,0.006484,3
35,Random Forest,chickweight,Copula,99.67749695,0.007362,3
36,Random Forest,htwtindex,Separate models,99.92612145,35.00498509,3
37,Random Forest,htwtindex,Zero,80.63903293457246,0.000168055741,3
38,Random Forest,htwtindex,Mean,80.63903293457246,0.0001681828354,3
40,Random Forest,htwtindex,Uniform,80.63903293457246,0.01038868811,3
41,Random Forest,htwtindex,Marginal,99.91716089,0.0004963999999999999,3
42,Random Forest,htwtindex,Conditional,99.91716089,0.007036,3
43,Random Forest,htwtindex,Gaussian,99.91716097,0.007143,3
44,Random Forest,htwtindex,Copula,99.91716086,0.006879,3
45,Random Forest,jewellery,Separate models,99.97715406,41.53550649,3
46,Random Forest,jewellery,Zero,80.63903293457246,0.00016383550699999999,3
47,Random Forest,jewellery,Mean,58.48311213,0.0001785384195,3
49,Random Forest,jewellery,Uniform,80.63903293457246,0.01134774897,3
50,Random Forest,jewellery,Marginal,99.97266062,0.0004854,3
51,Random Forest,jewellery,Conditional,99.97266062,0.006474,3
52,Random Forest,jewellery,Gaussian,99.97266061,0.006092,3
53,Random Forest,jewellery,Copula,99.97266061,0.009207,3
54,Random Forest,questions,Separate models,99.80997834,39.05848765,3
55,Random Forest,questions,Zero,80.63903293457246,0.0001645109162,3
56,Random Forest,questions,Mean,98.73947228,0.0001703523665,3
58,Random Forest,questions,Uniform,81.11278635,0.0155318059,3
59,Random Forest,questions,Marginal,99.82962424,0.00032205,3
60,Random Forest,questions,Conditional,99.82962423,0.006806,3
61,Random Forest,questions,Gaussian,99.82962422,0.006379,3
62,Random Forest,questions,Copula,99.82962425,0.011926,3
63,Random Forest,spx,Separate models,99.78706353,45.38109994,3
64,Random Forest,spx,Zero,80.63903293457246,0.0001661396654,3
65,Random Forest,spx,Mean,85.68391738,0.0001497089904,3
67,Random Forest,spx,Uniform,80.63903293457246,0.02853310505,3
68,Random Forest,spx,Marginal,99.79257345,0.00033874999999999997,3
69,Random Forest,spx,Conditional,99.79257345,0.008162,3
70,Random Forest,spx,Gaussian,99.79257348,0.007819,3
71,Random Forest,spx,Copula,99.79257347,0.016116,3
72,Random Forest,advertisements,Separate models,95.71075009,48.6789012,4
73,Random Forest,advertisements,Zero,80.63903293457246,0.00019335646339999998,4
74,Random Forest,advertisements,Mean,79.0346022,0.00020333250720000001,4
76,Random Forest,advertisements,Uniform,80.63903293457246,0.004095106692,4
77,Random Forest,advertisements,Marginal,95.37792247,0.00027285,4
78,Random Forest,advertisements,Conditional,95.37792259,0.005823,4
79,Random Forest,advertisements,Gaussian,95.37792231,0.010955,4
80,Random Forest,advertisements,Copula,95.37792223,0.019471,4
81,Random Forest,advertising,Separate models,95.71075009,96.30607843,4
82,Random Forest,advertising,Zero,80.63903293457246,0.00019724038150000002,4
83,Random Forest,advertising,Mean,79.0346022,0.00020307303200000002,4
85,Random Forest,advertising,Uniform,80.63903293457246,0.004075605176,4
86,Random Forest,advertising,Marginal,95.37792247,0.00026635,4
87,Random Forest,advertising,Conditional,95.37792259,0.004996,4
88,Random Forest,advertising,Gaussian,95.37792231,0.012169,4
89,Random Forest,advertising,Copula,95.37792223,0.010808,4
90,Random Forest,blood,Separate models,99.65658086,54.16855812,4
91,Random Forest,blood,Zero,80.63903293457246,0.0001757187042,4
92,Random Forest,blood,Mean,52.00776834,0.0002339709809,4
94,Random Forest,blood,Uniform,80.63903293457246,0.022317265849999997,4
95,Random Forest,blood,Marginal,99.653577,0.00033555,4
96,Random Forest,blood,Conditional,99.65357708,0.007579,4
97,Random Forest,blood,Gaussian,99.65357668,0.007898,4
98,Random Forest,blood,Copula,99.65357697,0.013417,4
99,Random Forest,const-maint,Separate models,99.92605631,41.63754725,4
100,Random Forest,const-maint,Zero,46.96573184,0.0001811957576,4
101,Random Forest,const-maint,Mean,88.20130661,0.0001849368052,4
103,Random Forest,const-maint,Uniform,48.9135501,0.0007172404419000001,4
104,Random Forest,const-maint,Marginal,99.95621354,0.00024849999999999997,4
105,Random Forest,const-maint,Conditional,99.9562135,0.004466,4
106,Random Forest,const-maint,Gaussian,99.95621356,0.00418,4
107,Random Forest,const-maint,Copula,99.95621351,0.004697,4
108,Random Forest,diamonds_filter,Separate models,99.99560852,108.4209354,4
109,Random Forest,diamonds_filter,Zero,80.63903293457246,0.00020906508930000002,4
110,Random Forest,diamonds_filter,Mean,98.16378167,0.0002337461758,4
112,Random Forest,diamonds_filter,Uniform,90.93541208,0.022757173470000003,4
113,Random Forest,diamonds_filter,Marginal,99.97284997,0.00032045,4
114,Random Forest,diamonds_filter,Conditional,99.97284995,0.007001,4
115,Random Forest,diamonds_filter,Gaussian,99.97284997,0.00715,4
116,Random Forest,diamonds_filter,Copula,99.97284999,0.00746,4
117,Random Forest,diamonds_select,Separate models,99.97232794,129.2551069,4
118,Random Forest,diamonds_select,Zero,80.63903293457246,0.00021511348449999997,4
119,Random Forest,diamonds_select,Mean,80.63903293457246,0.0002386793996,4
121,Random Forest,diamonds_select,Uniform,99.9904484,0.03696488148,4
122,Random Forest,diamonds_select,Marginal,99.99958052,0.00041595,4
123,Random Forest,diamonds_select,Conditional,99.99958052,0.008816,4
124,Random Forest,diamonds_select,Gaussian,99.99958051,0.008733,4
125,Random Forest,diamonds_select,Copula,99.99958051,0.017363,4
126,Random Forest,economics,Separate models,98.62181677,127.9531362,4
127,Random Forest,economics,Zero,80.63903293457246,0.0002169593322,4
128,Random Forest,economics,Mean,89.22947477,0.000226948511,4
130,Random Forest,economics,Uniform,80.63903293457246,0.01383327713,4
131,Random Forest,economics,Marginal,98.67848079,0.00029915,4
132,Random Forest,economics,Conditional,98.67848104,0.006885,4
133,Random Forest,economics,Gaussian,98.67848152,0.006971,4
134,Random Forest,economics,Copula,98.67848116,0.011055,4
135,Random Forest,iris,Separate models,99.98434728,44.54741549,4
136,Random Forest,iris,Zero,80.63903293457246,0.0001969015741,4
137,Random Forest,iris,Mean,92.45200053,0.0001979373789,4
139,Random Forest,iris,Uniform,94.01725577,0.003654233794,4
140,Random Forest,iris,Marginal,99.99999887,0.00026495,4
141,Random Forest,iris,Conditional,99.99999887,0.004984,4
142,Random Forest,iris,Gaussian,99.99999887,0.005278,4
143,Random Forest,iris,Copula,99.99999887,0.008735,4
144,Random Forest,petrol,Separate models,95.11840202,84.76156211,4
145,Random Forest,petrol,Zero,80.63903293457246,0.0001878053844,4
146,Random Forest,petrol,Mean,99.92330667,0.00019400818649999998,4
148,Random Forest,petrol,Uniform,80.63903293457246,0.001148380771,4
149,Random Forest,petrol,Marginal,95.94402372,0.00036485,4
150,Random Forest,petrol,Conditional,95.94402485,0.00405,4
151,Random Forest,petrol,Gaussian,95.94402441,0.004689,4
152,Random Forest,petrol,Copula,95.944024,0.006284,4
153,Random Forest,power,Separate models,74.90209723,183.6775289,4
154,Random Forest,power,Zero,80.63903293457246,0.0002768180941,4
155,Random Forest,power,Mean,80.63903293457246,0.000316280193,4
157,Random Forest,power,Uniform,99.3374416,0.06126041207,4
158,Random Forest,power,Marginal,99.10398281,0.0003852,4
159,Random Forest,power,Conditional,99.10398293,0.00886,4
160,Random Forest,power,Gaussian,99.10398261,0.008766,4
161,Random Forest,power,Copula,99.10398267,0.010156,4
162,Random Forest,startups,Separate models,84.07573345,42.68050981,4
163,Random Forest,startups,Zero,80.63903293457246,0.0001853945396,4
164,Random Forest,startups,Mean,82.92852651,0.00016809536430000002,4
166,Random Forest,startups,Uniform,80.63903293457246,0.0010881076,4
167,Random Forest,startups,Marginal,84.39024088,0.0002744,4
168,Random Forest,startups,Conditional,84.3902412,0.004382,4
169,Random Forest,startups,Gaussian,84.3902412,0.004594,4
170,Random Forest,startups,Copula,84.39024086,0.006525,4
171,Random Forest,unemploy,Separate models,98.62181677,142.1432502,4
172,Random Forest,unemploy,Zero,80.63903293457246,0.0002163342012,4
173,Random Forest,unemploy,Mean,89.22947477,0.0002007604837,4
175,Random Forest,unemploy,Uniform,80.63903293457246,0.0137561176,4
176,Random Forest,unemploy,Marginal,98.67848079,0.0003556,4
177,Random Forest,unemploy,Conditional,98.67848104,0.007056,4
178,Random Forest,unemploy,Gaussian,98.67848152,0.006969,4
179,Random Forest,unemploy,Copula,98.67848116,0.013871,4
180,Random Forest,aiRandom Forestoil,Separate models,99.6033116,398.4419911,5
181,Random Forest,aiRandom Forestoil,Zero,80.63903293457246,0.0002742764155,5
182,Random Forest,aiRandom Forestoil,Mean,80.63903293457246,0.0002790344686,5
184,Random Forest,aiRandom Forestoil,Uniform,48.50642897,0.03524511058,5
185,Random Forest,aiRandom Forestoil,Marginal,99.92101827,0.00040375000000000003,5
186,Random Forest,aiRandom Forestoil,Conditional,99.92101828,0.020585,5
187,Random Forest,aiRandom Forestoil,Gaussian,99.92101815,0.00961,5
188,Random Forest,aiRandom Forestoil,Copula,99.92101827,0.017135,5
189,Random Forest,aiRandom Forestoil-self-noise,Separate models,99.6033116,400.3991048,5
190,Random Forest,aiRandom Forestoil-self-noise,Zero,80.63903293457246,0.0002642844323,5
191,Random Forest,aiRandom Forestoil-self-noise,Mean,80.63903293457246,0.0002748621948,5
193,Random Forest,aiRandom Forestoil-self-noise,Uniform,48.50863898,0.03526914952,5
194,Random Forest,aiRandom Forestoil-self-noise,Marginal,99.92101827,0.00044980000000000004,5
195,Random Forest,aiRandom Forestoil-self-noise,Conditional,99.92101828,0.019937,5
196,Random Forest,aiRandom Forestoil-self-noise,Gaussian,99.92101815,0.009395,5
197,Random Forest,aiRandom Forestoil-self-noise,Copula,99.92101827,0.017125,5
198,Random Forest,japanemg,Separate models,85.17902776,230.4131877,5
199,Random Forest,japanemg,Zero,41.40786882,0.0002305084705,5
200,Random Forest,japanemg,Mean,91.00425137,0.000224576664,5
202,Random Forest,japanemg,Uniform,66.55326437,0.0011394770780000002,5
203,Random Forest,japanemg,Marginal,86.16467178,0.0002918,5
204,Random Forest,japanemg,Conditional,86.16467211,0.004935,5
205,Random Forest,japanemg,Gaussian,86.16467184,0.004716,5
206,Random Forest,japanemg,Copula,86.16466953,0.008188,5
207,Random Forest,linnerud,Separate models,90.42631703,107.6733944,5
208,Random Forest,linnerud,Zero,99.53249425,0.00020942228180000002,5
209,Random Forest,linnerud,Mean,96.51546145,0.000219448294,5
211,Random Forest,linnerud,Uniform,80.74691386,0.0005858219691999999,5
212,Random Forest,linnerud,Marginal,89.94342413,0.00027505,5
213,Random Forest,linnerud,Conditional,89.94343014,0.004848,5
214,Random Forest,linnerud,Gaussian,89.94342611,0.004413,5
215,Random Forest,linnerud,Copula,89.94342534,0.00515,5
