,Model,dataset,Replacement Strategy,accuracy,time,features
0,Linear Regression,3droad,Conditional,54.64552679,0.008225,3
1,Linear Regression,3droad,Copula,54.64552736,0.009831,3
2,Linear Regression,3droad,Gaussian,54.64552738,0.011315,3
3,Linear Regression,3droad,Marginal,99.92310848,0.018019572715,3
4,Linear Regression,3droad,Mean,99.92310848,1.112375115e-05,3
6,Linear Regression,3droad,Separate models,99.99997749,1.853749752,3
7,Linear Regression,3droad,Uniform,99.99964129,0.0002019678807,3
8,Linear Regression,3droad,Zero,86.91839960271895,9.710571983e-06,3
9,Linear Regression,apartments,Conditional,96.09081246,0.005356,3
10,Linear Regression,apartments,Copula,96.09081192,0.005737,3
11,Linear Regression,apartments,Gaussian,96.09081211,0.009346,3
12,Linear Regression,apartments,Marginal,96.09081221,0.00583735154,3
13,Linear Regression,apartments,Mean,96.09081221,1.22663608e-05,3
15,Linear Regression,apartments,Separate models,98.09081221,0.07391095161,3
16,Linear Regression,apartments,Uniform,96.06405129,1.3346580360000001e-05,3
17,Linear Regression,apartments,Zero,86.91839960271895,1.06213643e-05,3
18,Linear Regression,brainweight,Conditional,98.67176784,0.005309,3
19,Linear Regression,brainweight,Copula,98.6717679,0.009118,3
20,Linear Regression,brainweight,Gaussian,98.67176789,0.017371,3
21,Linear Regression,brainweight,Marginal,98.67176779,0.013578329359999999,3
22,Linear Regression,brainweight,Mean,88.86707356,9.218077116e-06,3
24,Linear Regression,brainweight,Separate models,98.97176779,0.04924273491,3
25,Linear Regression,brainweight,Uniform,98.66519117,4.252181777e-05,3
26,Linear Regression,brainweight,Zero,86.91839960271895,9.0129466e-06,3
27,Linear Regression,chickweight,Conditional,99.42674257,0.007219,3
28,Linear Regression,chickweight,Copula,99.42674257,0.007206,3
29,Linear Regression,chickweight,Gaussian,99.4267426,0.011562,3
30,Linear Regression,chickweight,Marginal,99.42674258,0.027106533314999997,3
31,Linear Regression,chickweight,Mean,97.56313945,9.008415082e-06,3
33,Linear Regression,chickweight,Separate models,99.99426743,0.02703690529,3
34,Linear Regression,chickweight,Uniform,99.6798881,8.157354832e-05,3
35,Linear Regression,chickweight,Zero,86.91839960271895,9.019849188e-06,3
36,Linear Regression,htwtindex,Conditional,99.7515125,0.006131,3
37,Linear Regression,htwtindex,Copula,99.75151256,0.011332,3
38,Linear Regression,htwtindex,Gaussian,99.75151248,0.009059,3
39,Linear Regression,htwtindex,Marginal,99.7515125,0.026341232025,3
40,Linear Regression,htwtindex,Mean,86.91839960271895,9.042349729e-06,3
42,Linear Regression,htwtindex,Separate models,99.99751513,0.01226186752,3
43,Linear Regression,htwtindex,Uniform,99.80855309,8.937836885e-05,3
44,Linear Regression,htwtindex,Zero,97.57356402,8.973540682e-06,3
45,Linear Regression,jewellery,Conditional,99.9231635,0.006379,3
46,Linear Regression,jewellery,Copula,99.92316352,0.006769,3
47,Linear Regression,jewellery,Gaussian,99.92316352,0.009184,3
48,Linear Regression,jewellery,Marginal,99.9231635,0.021638770945,3
49,Linear Regression,jewellery,Mean,99.9231635,9.873370211e-06,3
51,Linear Regression,jewellery,Separate models,99.9231635,0.01346111298,3
52,Linear Regression,jewellery,Uniform,99.61780139,8.017092942999999e-05,3
53,Linear Regression,jewellery,Zero,86.91839960271895,9.781172176e-06,3
54,Linear Regression,questions,Conditional,99.68637557,0.006242,3
55,Linear Regression,questions,Copula,99.68637557,0.009663,3
56,Linear Regression,questions,Gaussian,99.68637556,0.008708,3
57,Linear Regression,questions,Marginal,99.68637558,0.015811082015,3
58,Linear Regression,questions,Mean,99.68637558,9.650259307e-06,3
60,Linear Regression,questions,Separate models,99.99686376,0.01854801178,3
61,Linear Regression,questions,Uniform,99.70516915,8.706371784e-05,3
62,Linear Regression,questions,Zero,86.91839960271895,9.642124176e-06,3
63,Linear Regression,spx,Conditional,99.95941365,0.007519,3
64,Linear Regression,spx,Copula,99.95941365,0.00902,3
65,Linear Regression,spx,Gaussian,99.95941366,0.010566,3
