,Model,dataset,Replacement Strategy,accuracy,time,features
0,XGBoost,3droad,Separate models,99.65751455,57.40562749,3
1,XGBoost,3droad,Zero,88.03427604,5.4182738969999996e-05,3
2,XGBoost,3droad,Mean,99.92252888,5.130845128e-05,3
4,XGBoost,3droad,Uniform,81.03957732986822,0.002214590444,3
5,XGBoost,3droad,Marginal,99.57465492,0.00047795,3
6,XGBoost,3droad,Conditional,99.57465482,0.008367,3
7,XGBoost,3droad,Gaussian,99.57465514,0.008539,3
8,XGBoost,3droad,Copula,99.57465489,0.008687,3
9,XGBoost,apartments,Separate models,99.44792878,21.03063774,3
10,XGBoost,apartments,Zero,40.60421886,0.0001107037984,3
11,XGBoost,apartments,Mean,72.00664187,5.1718124980000004e-05,3
13,XGBoost,apartments,Uniform,76.7810665,0.0001748904815,3
14,XGBoost,apartments,Marginal,99.44792667,0.0002806,3
15,XGBoost,apartments,Conditional,99.44792683,0.005179,3
16,XGBoost,apartments,Gaussian,99.44792662,0.005496,3
17,XGBoost,apartments,Copula,99.44792656,0.005364,3
18,XGBoost,brainweight,Separate models,99.24645151,29.08589482,3
19,XGBoost,brainweight,Zero,81.03957732986822,5.52914716e-05,3
20,XGBoost,brainweight,Mean,99.16819995,5.0255980670000005e-05,3
22,XGBoost,brainweight,Uniform,81.03957732986822,0.0005289408648,3
23,XGBoost,brainweight,Marginal,99.24664904,0.00032375,3
24,XGBoost,brainweight,Conditional,99.24664908,0.005273,3
25,XGBoost,brainweight,Gaussian,99.24664913,0.008534,3
26,XGBoost,brainweight,Copula,99.24664912,0.00535,3
27,XGBoost,chickweight,Separate models,99.58489869,31.62934685,3
28,XGBoost,chickweight,Zero,81.03957732986822,5.5573448459999996e-05,3
29,XGBoost,chickweight,Mean,99.99082571,6.080231741e-05,3
31,XGBoost,chickweight,Uniform,82.90171048,0.0014320478139999999,3
32,XGBoost,chickweight,Marginal,99.58515742,0.0016297,3
33,XGBoost,chickweight,Conditional,99.58515742,0.007553,3
34,XGBoost,chickweight,Gaussian,99.58515732,0.006438,3
35,XGBoost,chickweight,Copula,99.58515741,0.005495,3
36,XGBoost,htwtindex,Separate models,99.88437596,124.8514729,3
37,XGBoost,htwtindex,Zero,81.03957732986822,5.51776886e-05,3
38,XGBoost,htwtindex,Mean,81.03957732986822,6.857197212e-05,3
40,XGBoost,htwtindex,Uniform,81.03957732986822,0.001161493927,3
41,XGBoost,htwtindex,Marginal,99.88499218,0.00039175,3
42,XGBoost,htwtindex,Conditional,99.88499218,0.006871,3
43,XGBoost,htwtindex,Gaussian,99.88499241,0.006008,3
44,XGBoost,htwtindex,Copula,99.88499213,0.006073,3
45,XGBoost,jewellery,Separate models,99.90096563,38.84280753,3
46,XGBoost,jewellery,Zero,81.03957732986822,5.269695899e-05,3
47,XGBoost,jewellery,Mean,86.07847693,6.296190673e-05,3
49,XGBoost,jewellery,Uniform,53.6176471,0.001220597627,3
50,XGBoost,jewellery,Marginal,99.90119405,0.0004501,3
51,XGBoost,jewellery,Conditional,99.90119405,0.006434,3
52,XGBoost,jewellery,Gaussian,99.90119404,0.006063,3
53,XGBoost,jewellery,Copula,99.90119407,0.005784,3
